X,Y,OBJECTID,METERTYPE,METERID,ROUTEID,SIDE,MEAS,LON,LAT,DDOTLON,DDOTLAT,DDOTMDSPX,DDOTMDSPY,STREET,BLOCK,METERMODEL,METERSTATUS,METERSTATE,METERSPACES,ISADA,PMZONE,TRANSMISSIONDATE,ERRORCODES
-77.038866431900004,38.906028905299998,2000752,Single,20171202,11001702,West,1922.69067383,0,0,-77.03886414,38.90602112,-77.03849792,38.90602112,17TH ST NW,1200,IPS Cash and Card,Unknown,Removed,1,N,22228,202002123354,NoPolicy_XYDataInvalid_
-77.038431556199995,38.905887761599999,2000753,Single,20171201,11001702,East,1907.11853027,-77.03842926,38.90587997,,,-77.03849792,38.90587997,17TH ST NW,1200,IPS Cash and Card,Active,Installed,1,N,22227,202002123354,
-77.038431555599999,38.906143346500002,2000754,Single,20171207,11001702,East,1935.49047852,-77.03842926,38.90613556,,,-77.03849792,38.90613556,17TH ST NW,1200,IPS Cash and Card,Active,Installed,1,N,22227,202002123354,
-77.038431556399999,38.9060632375,2000755,Single,20171205,11001702,East,1926.59777832,-77.03842926,38.90605545,,,-77.03849792,38.90605545,17TH ST NW,1200,IPS Cash and Card,Active,Installed,1,N,22227,202002123354,
-77.038866431900004,38.906028905299998,2000756,Single,20171204,11001702,West,1922.69067383,0,0,-77.03886414,38.90602112,-77.03849792,38.90602112,17TH ST NW,1200,IPS Cash and Card,Active,Removed,1,N,22228,202002123354,NoPolicy_XYDataInvalid_
-77.038431556,38.906231083900003,2000757,Single,20171209,11001702,East,1945.2434082,-77.03842926,38.9062233,,,-77.03849792,38.9062233,17TH ST NW,1200,IPS Cash and Card,Active,Installed,1,N,22227,202002123354,
-77.019358063300004,38.894745028899997,2000758,Single,61040508,11026912,South,655.43188477,-77.01935577,38.89473724,,,-77.01935577,38.89479065,D ST NW,500,Duncan Single-Space,Active,Removed,1,N,22504,202002123354,NoPolicy_
-77.020021821100002,38.896434939700001,2000759,Multi,20060592,11000602,West,483.09414673,-77.02001953,38.89642715,,,-77.01990509,38.89642715,6TH ST NW,500,Stelio,Active,Installed,4,N,2290,202002123354,
-76.995043174599999,38.885311282099998,2000760,Single,60730319,13000802,West,499.79418945,-76.99504089,38.8853035,,,-76.9949646,38.8853035,8TH ST SE,300,IPS Cash and Card,Active,Removed,1,N,21165,202002123354,NoPolicy_
-77.026155855499994,38.88633362,2000761,Single,64630335,14054972,West,137.6091156,-77.02615356,38.88632584,,,-77.02597809,38.88632584,L'ENFANT PLZ SW,300,IPS Cash and Card,Active,Installed,1,N,21401,202002123354,
-77.025812533,38.885521089,2000762,Single,64630334,14054972,East,227.99102783,-77.02581024,38.88551331,,,-77.02597809,38.88551331,L'ENFANT PLZ SW,300,IPS Cash and Card,Active,Removed,1,N,21402,202002123354,NoPolicy_
-77.026155854600006,38.886219178600001,2000763,Single,64630337,14054972,West,150.31268311,-77.02615356,38.8862114,,,-77.02597809,38.8862114,L'ENFANT PLZ SW,300,IPS Cash and Card,Active,Installed,1,N,21401,202002123354,
-77.025812532,38.885406648100002,2000764,Single,64630336,14054972,East,240.69462585,-77.02581024,38.88539886,,,-77.02597046,38.88539886,L'ENFANT PLZ SW,300,IPS Cash and Card,Active,Removed,1,N,21402,202002123354,NoPolicy_
-77.026155855100001,38.8864404312,2000765,Single,64630331,14054972,West,125.75244141,-77.02615356,38.88643265,,,-77.02597809,38.88643265,L'ENFANT PLZ SW,300,IPS Cash and Card,Active,Installed,1,N,21401,202002123354,
-77.025812531900002,38.885639344799998,2000766,Single,64630330,14054972,East,214.86399841,-77.02581024,38.88563156,,,-77.02597809,38.88563156,L'ENFANT PLZ SW,300,IPS Cash and Card,Active,Removed,1,N,21402,202002123354,NoPolicy_
-77.026155855499994,38.88633362,2000767,Single,64630333,14054972,West,137.6091156,-77.02615356,38.88632584,,,-77.02597809,38.88632584,L'ENFANT PLZ SW,300,IPS Cash and Card,Active,Installed,1,N,21401,202002123354,
-77.025812533,38.885521089,2000768,Single,64630332,14054972,East,227.99102783,-77.02581024,38.88551331,,,-77.02597809,38.88551331,L'ENFANT PLZ SW,300,IPS Cash and Card,Active,Removed,1,N,21402,202002123354,NoPolicy_
-76.993967429099996,38.876815948900003,2000769,Single,65000811,13071892,Southeast,415.46499634,-76.99396515,38.87680817,,,-76.99401093,38.87687683,POTOMAC ST SE,800,IPS Cash and Card,Unknown,Installed,1,N,21251,202002123354,
-77.006853481799993,38.904728094900001,2000770,Multi,64960094,12070262,North,192.33729553,-77.0068512,38.90472031,,,-77.0068512,38.90468979,PIERCE ST NE,0,Strada,Active,Installed,12,N,21565,202002123354,
-77.014902495100003,38.896240391200003,2000771,Single,61050205,11031332,North,506.80343628,-77.01490021,38.8962326,,,-77.01490021,38.89612579,E ST NW,200,IPS Cash and Card,Active,Installed,1,N,22525,202002123354,
-76.990511312699994,38.8821870445,2000772,Single,62501107,13069812,Southwest,1280.76074219,-76.99050903,38.88217926,,,-76.99040985,38.8823204,PENNSYLVANIA AVE SE,1100,IPS Cash and Card,Active,Removed,1,N,21240,202002123354,NoPolicy_
-76.991426840100004,38.882545626,2000773,Single,62501101,13001102,East,806.70996094,-76.99142456,38.88253784,,,-76.99153137,38.88253784,PENNSYLVANIA AVE SE,1100,IPS Cash and Card,Active,Removed,1,N,21240,202002123354,NoPolicy_
-77.008547208300001,38.904667058599998,2000774,Multi,64960091,12070262,South,45.3875885,-77.00854492,38.90465927,,,-77.00854492,38.90468979,PIERCE ST NE,0,Strada,Inactive,Installed,14,N,21564,202002123354,
-77.008402249400007,38.904743353,2000775,Multi,64960092,12070262,North,58.04944992,-77.00839996,38.90473557,,,-77.00839996,38.90468979,PIERCE ST NE,0,Strada,Inactive,Installed,7,N,21565,202002123354,
-77.006594082500001,38.904659430199999,2000776,Multi,64960093,12070262,South,214.83177185,-77.0065918,38.90465164,,,-77.0065918,38.90468979,PIERCE ST NE,0,Strada,Active,Installed,8,N,21564,202002123354,
-77.013742824700003,38.864933164100002,2000777,Single,60582047,14000202,West,1224.41479492,-77.01374054,38.86492538,,,-77.01367188,38.86492538,2ND ST SW,2000,IPS Cash and Card,Unknown,Removed,1,N,21275,202002123354,NoPolicy_
-77.013742825600005,38.864990384400002,2000778,Single,60582045,14000202,West,1218.06286621,-77.01374054,38.8649826,,,-77.01367188,38.8649826,2ND ST SW,2000,IPS Cash and Card,Unknown,Removed,1,N,21275,202002123354,NoPolicy_
-76.993967429099996,38.876815948900003,2000779,Single,65000813,13071892,Southeast,415.46499634,-76.99396515,38.87680817,,,-76.99401093,38.87687683,POTOMAC ST SE,800,IPS Cash and Card,Unknown,Installed,1,N,21251,202002123354,
-76.990351095199998,38.882126008500002,2000780,Single,62501109,13001202,West,789.57049561,-76.99034882,38.88211823,,,-76.990242,38.88211823,PENNSYLVANIA AVE SE,1100,IPS Cash and Card,Active,Removed,1,N,21240,202002123354,NoPolicy_
-77.019136812400006,38.921226662800002,2000781,Single,14180424,11024372,South,186.15769958,-77.01913452,38.92121887,,,-77.01914215,38.92126846,COLLEGE ST NW,400,IPS Cash and Card,Active,Installed,1,N,22428,202002123354,
-77.013742824600001,38.865101011100002,2000782,Single,60582041,14000202,West,1205.78259277,-77.01374054,38.86509323,,,-77.01367188,38.86509323,2ND ST SW,2000,IPS Cash and Card,Unknown,Removed,1,N,21275,202002123354,NoPolicy_
-77.029573824799996,38.885482941799999,2000783,Multi,60840392,14001302,East,55.03821564,-77.02957153,38.88547516,,,-77.02961731,38.88547516,13TH ST SW,300,Strada,Active,Installed,9,N,21324,202002123354,
-77.080042288900003,38.946327373499997,2000784,Single,35364011,11095222,North,1259.33911133,-77.08003998,38.94631958,,,-77.08003998,38.94628143,Yuma St. NW,4000,IPS Cash and Card,Active,Installed,1,N,21076,202002123354,
-77.029673007900001,38.885490570899996,2000785,Multi,60840391,14001302,West,54.24637604,-77.02967072,38.88548279,,,-77.02961731,38.88548279,13TH ST SW,300,Strada,Unknown,Installed,7,N,21325,202002123354,
-77.049623881800002,38.898384249899998,2000691,Single,21072217,11038612,North,2757.24023438,-77.04962158,38.89837646,,,-77.04962158,38.89832306,G ST NW,2200,IPS Cash and Card,Active,Installed,1,N,2129,202002123354,
-77.049799357300003,38.898281253,2000692,Single,21072216,11038612,South,2772.53076172,-77.04979706,38.89827347,,,-77.04979706,38.89832687,G ST NW,2200,IPS Cash and Card,Active,Installed,1,N,2130,202002123354,
